Nazwa|Cena|Stan nieruchomości|Pow. całkowita|Pow. użytkowa|Piętro|Liczba pięter|Liczba poziomów mieszkania|Typ kuchni|Liczba łazienek|Pow. łazienki|łazienka razem z WC|Balkon|Taras|Rynek|Dostępne od|Forma własności|Rodzaj umowy|Typ budynku|Materiał budowlany|Rok budowy|Stan budynku|Ogrzewanie|Data dodania|Aktualizacja|Numer ogłoszenia|Liczba odsłon|Liczba Punktów Podbić|Inwestycja|Pow. ogródka|Liczba sypialni|Pow. tarasu|Pow. loggii|Wysokość wnętrza|Stolarka okienna|Pow. balkonu|Dodatkowe koszty|Cena do negocjacji|Typ nieruchomości|Typ domu|Pow. działki|Lokalizacja garażu
Przytulne mieszkanie z balkonem i parkingiem|790 000 zł|Bardzo dobry|53,80 m²||||||1|4,40 m²||Tak||Wtórny|||Na wyłączność|Blok||2009||C.O. GAZOWE|08.04.2024|09.04.2024|morizon-SCT-MS-226|33|195|||1|||250 cm|PCV|||||||
Kawalerka pod klucz w doskonałej lokalizacji|489 000 zł||30 m²||1/8|8||||||||Wtórny|||Na wyłączność|Apartamentowiec|Pustak|2013||Co Miejskie|27.02.2024|03.04.2024|morizon-MA586882336|408|188|||1|||||||||||
Opis nieruchomości|549 900 zł||36,02 m²||1/3|3||||||Tak||Pierwotny||||||2024|||29.03.2024|03.04.2024|morizon-0.17|60|185|Apartamenty Diuna|||||||6,82 m²||||||
"Nowe wykończone 2 pokoje | Perspektywa Eurostyl"|1 300 000 zł||70,15 m²||3/4|4||||||Tak||Wtórny|2023-09-05||Na wyłączność|Apartamentowiec|Konstrukcja mieszana|2022||Co Miejskie|05.09.2023|26.02.2024|morizon-TC866622|1 108|184|||2|||||||||||
Opis nieruchomości|639 900 zł||44,23 m²|||3||||||||Pierwotny||||||2024|||29.03.2024|03.04.2024|morizon-0.9|70|182|Apartamenty Diuna|||7,92 m²|63 m²|||||||||
Apartament 3 pokojowy osiedle Harmonia Oliwska|1 525 000 zł||62,74 m²||2/6|6|1|||||Tak||Wtórny|2024-03-04||Na wyłączność|Apartamentowiec||2018||Co Miejskie|15.03.2024|08.04.2024|morizon-TC326133|114|177|||2|||||||||||
Opis nieruchomości|569 900 zł||36,02 m²|||3||||||||Pierwotny||||||2024|||29.03.2024|03.04.2024|morizon-0.6|50|169|Apartamenty Diuna|||7,60 m²|40,50 m²|||||||||
Opis nieruchomości|549 900 zł||32,68 m²|||3||||||||Pierwotny||||||2024|||29.03.2024|03.04.2024|morizon-0.5|52|167|Apartamenty Diuna|||6,80 m²|51 m²|||||||||
Pod klucz, 5 min. od plaży w Jelitkowie|687 000 zł||43 m²||3/4|4||||||||Wtórny|||Na wyłączność|Blok Mieszkalny||1980||Co Miejskie|22.03.2024|03.04.2024|morizon-MA102562627|187|167|||1|||||||||||
Innowacyjne mieszkanie w prestiżowej lokalizacji|2 099 000 zł|Wysoki standard|72 m²||3/3|3||Aneks kuchenny - połączony z salonem|1||Tak|Tak||Wtórny||Własność||Nowe budownictwo|Nowa cegła|2020||C.O. miejskie|07.11.2023|07.04.2024|morizon-SML-MS-2588|360|167|||3|||270 cm|PCV 3 szyby, ciepły montaż|8 m²|800|||||
"Kawalerka 35 m2 | oddzielna kuchnia | City Park |"|629 000 zł|Do wprowadzenia|35 m²||6/11|11||Oddzielna||||Tak||Wtórny||||Blok|||||08.03.2024|08.03.2024|morizon-BHN-MS-4125-1|249|166|||1|||||||||||
"OKAZJA | 2-pok. | INWESTYCJA PREMIUM | OLIWA"|871 759 zł|Deweloperski|40,81 m²||2/3|3||||||Tak||Pierwotny||||Apartamentowiec||2024|||08.03.2024|11.03.2024|morizon-BHN-MS-4117|89|166|||1|||||||||||
APARTAMENT w wysokim standardzie GARNIZON|1 740 000 zł|Do wprowadzenia|77,22 m²||4/6|6||||||||Wtórny||||Apartamentowiec||2021|||24.10.2023|25.03.2024|morizon-BHN-MS-4149-4|265|165||||||||||||||
Opis nieruchomości|1 725 230 zł||82,66 m²|||||||||||Pierwotny||||||2024|||01.03.2024|10.04.2024|morizon-28-28.1|496|151|KAMIENNA 28|||||||||||||
Opis nieruchomości|879 900 zł||74,50 m²|||3||||||||Pierwotny||||||2024|||29.03.2024|03.04.2024|morizon-0.11|41|148|Apartamenty Diuna|||6,46 m²|88 m²|||||||||
"Apartament pod klucz | Piękny widok na Motławę"|1 580 000 zł||80,48 m²||1/4|4||||||Tak||Wtórny|||Na wyłączność|||2021|||09.05.2023|10.04.2024|morizon-TC332582|1 027|147|||3|||||||||||
Opis nieruchomości|427 500 zł||40,65 m²|||||||||||Pierwotny||||||2025|||27.03.2024|10.04.2024|morizon-B2-B2.14|64|146|Quercus|||||||||||||
Opis nieruchomości|1 564 095 zł||72,90 m²|||||||||||Pierwotny||||||2024|||01.03.2024|10.04.2024|morizon-28-28.3|500|140|KAMIENNA 28|||||||||||||
Opis nieruchomości|659 900 zł||46,49 m²||1/3|3||||||Tak||Pierwotny||||||2024|||29.03.2024|03.04.2024|morizon-0.14|43|140|Apartamenty Diuna|||||||7,12 m²||||||
Opis nieruchomości|639 900 zł||44,34 m²|||3||||||||Pierwotny||||||2024|||29.03.2024|03.04.2024|morizon-0.10|54|139|Apartamenty Diuna|||7,92 m²|63 m²|||||||||
Opis nieruchomości|3 015 792 zł||139,62 m²|||||||||||Pierwotny||||||2024|||01.03.2024|10.04.2024|morizon-28-28.6|529|132|KAMIENNA 28|||||||||||||
Opis nieruchomości|1 570 868 zł||71,08 m²|||||||||||Pierwotny||||||2024|||01.03.2024|10.04.2024|morizon-28-28.7|494|126|KAMIENNA 28|||||||||||||
Opis nieruchomości|1 659 182 zł||76,46 m²|||||||||||Pierwotny||||||2024|||01.03.2024|10.04.2024|morizon-28-28.24|475|126|KAMIENNA 28|||||||||||||
3 pokoje, z ogródkiem, urokliwa, zielona okolica|762 100 zł||55,60 m²|||3||Półotwarta|1||Nie|Nie|Tak|Wtórny||Własność|Na wyłączność|||2023|Wysoki standard|C.o. miejskie|25.10.2023|06.04.2024|morizon-RR02018|1 709|125||||||||||||||
Klimatyczne mieszkanie z widokiem na gdańską Starówkę|1 250 000 zł|Do remontu|111,70 m²|106,50 m²|3/3|3|1|Osobna|1|3,19 m²|Nie|Nie|Nie|Wtórny|2024-03-30|Własność|Na wyłączność|Kamienica|Cegła|1860|Bardzo dobry|Gazowe|30.03.2024|30.03.2024|morizon-57|76|122||||||300 cm||||Tak||||
Jasne, gotowe do wprowadzenia|628 000 zł||46,51 m²|||2||||||Tak||Wtórny|2024-04-30||Na wyłączność|Blok Mieszkalny|Silikat|2017||Gazowe|06.04.2024|06.04.2024|morizon-183767|33|116|||1|||||||||||
Dwupoziomowe mieszkanie w pięknej okolicy|995 000 zł|Bardzo dobry|137 m²|113 m²|1/2|2|2|Aneks|2|8 m²|Tak|Tak|Tak|Wtórny|2024-04-10|Własność|Na wyłączność|Apartamentowiec|Bloczki|2013|Bardzo dobry|Miejskie|09.04.2024|09.04.2024|morizon-233|16|0||||||||||||||
Apartament nad brzegiem Motławy luxusowe cena brutto bez PCC|1 020 000 zł||37 m²||2/5|5|||||Tak|Tak||Wtórny|2024-03-01|||Apartamentowiec||2023|||16.03.2024|19.03.2024|morizon-gratka-33793533|137|100||||||||||||||
Mieszkanie z potencjałem. Duże 2 pokoje blisko centrum|627 000 zł||50,19 m²||3/3|3||Osobna|||Tak|||Wtórny||Własność||Kamienica|Cegła|1935|||19.03.2024|30.03.2024|morizon-gratka-33850705|209|100||||||||||||||
Nowy Ekskluzywny Apartament 3- pokoje, blisko plaży|1 147 000 zł|Wysoki standard|67,50 m²||6/17|17||Aneks|||Tak|||Wtórny|2024-03-14|Własność||Apartamentowiec|Cegła||||14.03.2024|02.04.2024|morizon-gratka-33749967|273|100||||||||||||||
Sprzedam nowe mieszaknie 3 pokojowe 62m2 Matemblewo|970 000 zł|Wysoki standard|62 m²||1/2|2||Aneks|||Tak|Tak||Wtórny|2024-02-01|Własność||Apartamentowiec|Silikat|2023|||26.02.2024|28.03.2024|morizon-gratka-33487975|312|100||||||||||||||
Promocyjna cena! Apartament inwestycyjny obok SKM|411 233 zł||25,88 m²|||5||Półotwarta|1||Nie|Nie|Nie|Wtórny||Własność|Na wyłączność|||2022|Wysoki standard|C.o. miejskie|16.03.2024|23.03.2024|morizon-RR02089|432|100||||||||||||||
Przestronne i stylowe mieszkanie przy samym lesie - Twój nowy DOM :)|737 777 zł|Dobry|52,20 m²|||10||Osobna|||Tak|Tak||Wtórny|2024-02-01|Własność||Blok||1980|||03.01.2024|17.03.2024|morizon-gratka-32915079|214|100||||||||||||||
Apartament/blisko plaży/4 pokoje/2 m. w hali garaż|1 045 000 zł||91 m²|90,84 m²|2/6|6||||||Tak|Tak|Wtórny||||Apartamentowiec||2024||Co Miejskie|02.04.2024|02.04.2024|morizon-MA343488|30|100|||2|||||||||||
SUPER OKAZJA , niższa cena-mieszkanie 2 pokojowe blisko Centrum|649 000 zł||50,50 m²||5/7|7|||||Tak|Tak||Wtórny||||Blok|||||04.03.2024|04.04.2024|morizon-gratka-33585991|383|100||||||||||||||
MIESZKANIE 3-pokojowe 68m2 + ogródek 90m2 , PARTER|699 000 zł||68 m²|||2|||||Tak|||Wtórny|2024-03-01|Własność||Dom wielorodzinny|||||22.02.2024|24.03.2024|morizon-gratka-33439091|354|100||||||||||||||
✅ Apartament w centrum Starówki|749 000 zł||51,50 m²|||5|2|||||Nie|Nie|Wtórny||||Kamienica||2008||Co Miejskie|22.01.2024|06.04.2024|morizon-1438466|1 354|66||||||||||||||
TBS zgrabne 2 pokoje|169 000 zł||32 m²||4/4|4||Brak|1|||Nie|Nie|Wtórny||(Nieznany)|Na wyłączność|||2005|Bardzo dobry|C.o. miejskie|10.04.2024|10.04.2024|morizon-JI03479|5|55||||||||||||||
Opis nieruchomości|621 056 zł||56,24 m²|||||||||Tak||Pierwotny||||||2024|||18.07.2023|10.04.2024|morizon-20-20B/M47|2 177|51|Javorova|||||||3,41 m²||||||
Apartament Gdańsk Brabank z frontowym widokiem na Motławę|3 200 000 zł||88 m²||6/6|6|||||Tak||Tak|Wtórny|2024-04-14|Własność||Apartamentowiec||2021|||09.04.2024|10.04.2024|morizon-gratka-34228297|54|50||||||||||||||
mieszkanie 2 pokojowe na sprzedaż|750 000 zł||42,70 m²||1/6|6||Aneks|||Tak|||Wtórny|2024-04-08|Własność||Blok|Pustak|2007|||07.04.2024|07.04.2024|morizon-gratka-34209921|22|50||||||||||||||
Mieszkanie 3-pok. na Oruni Górnej w Gdańsku|590 000 zł|Do remontu|61,08 m²||2/4|4|1|Osobna|1|3,70 m²|Nie|Tak|Nie|Wtórny|2024-06-24|Spółdzielcze-własnościowe z KW|Na wyłączność|Blok|Wielka płyta|1993|Dobry|Miejskie|06.03.2024|09.04.2024|morizon-39|526|50||||||255 cm||5 m²||||||
Piękny apartament na Gdańskim Starym Mieście|860 000 zł||46,59 m²||3/3|3||||||||Wtórny|2024-03-01|||Kamienica|Cegła|1957||Co Miejskie|13.01.2024|19.03.2024|morizon-Ecn796663|94|50||||||||||||||
Apartament w Quattro Towers Gdańsk Wrzeszcz o pow.138m2|2 139 000 zł|Wysoki standard|138 m²||||||||Tak|||Wtórny|||||||||04.03.2024|04.04.2024|morizon-gratka-33582827|307|50||||||||||||||
Nowy apartament. Pierwszy najemca widok na Motławę|1 249 000 zł||50 m²||2/5|5|1|||||Tak||Wtórny|||Na wyłączność|||2021|||27.02.2024|28.03.2024|morizon-TC989149|150|47|||2|||||||||||
Apartament 4-pokojowy, Gdańsk Morena. Piękny, nowiutki|1 130 000 zł||74,95 m²|||4|1|Aneks|1|4,53 m²|Tak|Tak|Tak|Wtórny|2024-07-01|Własność|Na wyłączność|Apartamentowiec|Zróżnicowany|2023|Bardzo dobry|Miejskie|04.04.2024|06.04.2024|morizon-44|57|45||||40,13 m²||270 cm||5,57 m²||||||
Mieszkanie 4-pokojowe na Morenie w Gdańsku|715 000 zł|Dobry|73,40 m²||7/10|10|1|Osobna|1|3,20 m²|Nie|Tak|Nie|Wtórny|2024-04-15|Spółdzielcze-własnościowe|Na wyłączność|Blok|Wielka płyta|1980|Dobry|Miejskie|07.03.2024|06.04.2024|morizon-40|287|45||||||256 cm||5,14 m²||||||
Opis nieruchomości|Zarezerwowano||46,05 m²|||||||||Tak||Pierwotny||||||2024|||24.11.2023|10.04.2024|morizon-22-22A/M8|619|45|Javorova|||||||4,27 m²||||||
Komfortowy Apartament- Gdańsk Stare Miasto , przy Motławie , Stara Stocznia 20|1 597 000 zł|Do wprowadzenia|49 m²||3/6|6||||||Tak||Wtórny||||Apartamentowiec||2023||Miejskie|08.02.2024|10.04.2024|morizon-24403|977|39|||||||Nowe drewniane|||||||
Mieszkanie 4-pok. w centrum Górnego Wrzeszcza w Gdańsku|1 100 000 zł|Dobry|84 m²||3/3|3|1|Osobna|1|2,70 m²|Tak|Tak|Nie|Wtórny|2024-06-01|Własność|Na wyłączność|Blok|Zróżnicowany|1960|Dobry|Miejskie|14.03.2024|05.04.2024|morizon-42|194|35||||||273 cm||3,50 m²||||||
Opis nieruchomości|Zarezerwowano||57,24 m²|||||||||Tak||Pierwotny||||||2024|||28.11.2023|10.04.2024|morizon-22-22B/M5|181|35|Javorova|||||||57,51 m²||||||
Opis nieruchomości|799 900 zł||62,05 m²|||3||||||||Pierwotny||||||2024|||29.03.2024|03.04.2024|morizon-0.7|41|35|Apartamenty Diuna|||7,60 m²|46,50 m²|||||||||
Gotowe do zamieszkania, 3 pokoje na 2 poziomach|875 000 zł||81,44 m²|100 m²|1/2|2|2|||||Tak||Wtórny|2024-04-30|||Szeregowy|Pustak|2016||Gazowe|26.03.2024|10.04.2024|morizon-TC811779|58|33|||1|||||||||||
Apartament w Śródmieściu Gdańska Nowa Grobla|1 080 000 zł||50,07 m²||4/4|4||||||Tak||Wtórny||||||2019|||02.02.2024|10.04.2024|morizon-EC287728|376|31|||1|||||||||||
Opis nieruchomości|678 900 zł||46,49 m²|||3||||||||Pierwotny||||||2024|||29.03.2024|03.04.2024|morizon-0.3|39|30|Apartamenty Diuna|||7,92 m²|61,86 m²|||||||||
Apartament Premium Brabank Invest Komfort|2 499 000 zł||95,70 m²|91,80 m²|2/6|6||||||||Wtórny||||||2023|||13.03.2024|10.04.2024|morizon-EC338785|188|30|||3|||||||||||
Idealne Mieszkanie Pod Inwestycje|1 150 000 zł||110,30 m²||4/4|4||||||||Wtórny|2024-02-28||Na wyłączność|Kamienica|Cegła|1950||Gazowe|28.02.2024|28.02.2024|morizon-GOF401116|389|30|||3|||||||||||
"Nowe 3 Pokojowe Mieszkanie | Gdańsk Letnica"|799 000 zł||55,95 m²||2/4|4||||||Tak||Wtórny|2024-01-22||Na wyłączność|Blok Mieszkalny|Pustak|2023||Co Miejskie|22.01.2024|08.03.2024|morizon-GOF466190|517|30|||1|||||||||||
Gdańsk Zaspa, 3 pokoje dużo możliwości|899 000 zł||64,40 m²|62,40 m²|7/9|9||||||Tak||Wtórny|2024-01-31||Na wyłączność|Blok Mieszkalny|Konstrukcja żelbetowa|1979||Co Miejskie|28.12.2023|08.03.2024|morizon-GOF935167|1 023|30|||2|||||||||||
Centrum Gdańska - Inwestycja - Podział|1 590 000 zł||129 m²||2/3|3||||||||Wtórny|||Na wyłączność|Kamienica|Cegła|1930||Gazowe|19.03.2024|25.03.2024|morizon-NIK957380|148|28||||||||||||||
Trzypokojowy apartament na osiedlu Mila Baltica|1 479 000 zł||59,72 m²||3/3|3||||||Tak||Wtórny|||Na wyłączność|Blok Mieszkalny||2017||Co Miejskie|12.02.2024|05.04.2024|morizon-ON580925|545|28||||||||||||||
Komfortowo i intymnie z widokiem na zieleń i saunami|538 700 zł|Do wykończenia|36 m²||1/2|2|1|Aneks|1||Tak|Tak|Nie|Wtórny|2024-04-04|Własność|Na wyłączność|Apartamentowiec|Zróżnicowany|2023|Bardzo dobry|Gazowe|03.04.2024|04.04.2024|morizon-295|50|27||||||270 cm||3 m²||||||
700 Metrów do plaży! Kupujący NIE płaci 2% Podatku|1 019 000 zł||65 m²||1/5|5||||||Tak||Wtórny||||||2023||Co Miejskie|26.02.2024|04.04.2024|morizon-903919|222|0|||2|||||||||||
Jasne, gotowe do wprowadzenia|579 000 zł||38,42 m²||1/4|4||||||Tak||Wtórny|2024-03-31||Na wyłączność|Blok Mieszkalny|Silikat|2018||Co Miejskie|21.03.2024|21.03.2024|morizon-672479|156|27|||1|||||||||||
Przestronne mieszkanie 4 pokojowe|799 900 zł|Do wykończenia|65,50 m²||1/3|3|1|Otwarta|2|4,19 m²|Tak|Tak||Pierwotny|2024-12-02|Wieczyste użytkowanie||Blok|Zróżnicowany|2024|Bardzo dobry|Miejskie|01.10.2023|24.03.2024|morizon-23610654|741|27||||||270 cm||10 m²||||||
Twoje nowe miejsce w centrum luksusu|1 536 833 zł||72,39 m²||3/3|3|1|||||Tak||Pierwotny|2024-01-31|||Blok Mieszkalny|Konstrukcja mieszana|2024||Co Miejskie|29.03.2024|29.03.2024|morizon-205451|65|26|||2|||||||||||
Apartament w nowoczesnej inwestycji w Oliwie|1 785 870 zł||75,33 m²||3/3|3|1|||||Tak||Pierwotny||||Blok Mieszkalny|Konstrukcja mieszana|2023||Co Miejskie|29.03.2024|08.04.2024|morizon-712060|62|26|||2|||||||||||
Apartament z balkonem w prestiżowej części Oliwy|3 262 970 zł||128,08 m²||2/3|3|1|||||Tak||Pierwotny|2024-01-31|||Blok Mieszkalny|Konstrukcja mieszana|2024||Co Miejskie|29.03.2024|29.03.2024|morizon-763283|65|26|||4|||||||||||
Stylowy apartament w przedwojennej kamienicy|1 300 000 zł||75 m²||1/3|3|1|||||Tak||Wtórny||||Kamienica||1910||Co Miejskie|13.03.2024|09.04.2024|morizon-123113|262|26|||2|||||||||||
Apartament na najwyższym piętrze niedaleko morza|2 655 455 zł||126,09 m²||10/10|10|1|||||||Pierwotny||||Apartamentowiec||2025||Co Miejskie|29.03.2024|29.03.2024|morizon-149176|77|26||||||||||||||
Mieszkanie na nowym osiedlu Gdańsk Południe|900 000 zł||64,69 m²||4/4|4|1|||||Tak||Wtórny|2024-03-07||Na wyłączność|Blok Mieszkalny||2022||Co Miejskie|08.03.2024|09.04.2024|morizon-764559|286|26|||2|||||||||||
"Jasny apartament z narożnym balkonem | 14 piętro"|1 900 000 zł||79,36 m²||14/17|17|1|||||Tak||Wtórny|||Na wyłączność|Wieżowiec||2020||Co Miejskie|19.02.2024|08.04.2024|morizon-523801|480|26|||1|||||||||||
Opis nieruchomości|635 400 zł||55,22 m²|||||||||Tak||Pierwotny||||||2024|||18.01.2024|10.04.2024|morizon-22-22B/M30|210|26|Javorova|||||||3,78 m²||||||
Perfekcyjny second home w Neptun Parku|1 299 000 zł||33,46 m²||2/3|3|1|||||||Wtórny|||Na wyłączność|Apartamentowiec||2017||Co Miejskie|09.03.2024|04.04.2024|morizon-728569|317|26||||||||||||||
Elegancja i wygoda w sercu Gdańska|1 450 000 zł||57 m²||3/5|5|1|||||||Wtórny|2024-01-18||Na wyłączność|Apartamentowiec||2023||Co Miejskie|12.02.2024|10.04.2024|morizon-185711|475|26||||||||||||||
Apartament z widokiem na marinę|1 085 000 zł||41,52 m²||1/2|2|1|||||Tak||Wtórny||||Apartamentowiec||2023||Co Miejskie|11.03.2024|04.04.2024|morizon-780826|228|26||||||||||||||
"Wyspa Spichrzów | Mieszkanie idealne pod najmy"|1 210 000 zł||63,50 m²||5/6|6|1|||||Tak||Wtórny|||Na wyłączność|Apartamentowiec||2017||Co Miejskie|23.01.2024|04.04.2024|morizon-803156310|672|26|||2|||||||||||
Komfortowe mieszkanie w sercu Oliwy|1 385 024 zł||54,73 m²|54,67 m²|1/3|3|1|||||Tak||Pierwotny||||Apartamentowiec||2022||Co Miejskie|31.05.2023|05.04.2024|morizon-353199|832|26|||1|||||||||||
Twoje Nowe Miejsce w Centrum Luksusu|1 536 833 zł||72,39 m²||3/3|3|1|||||Tak||Wtórny|2024-01-31|||Blok Mieszkalny|Konstrukcja mieszana|2024||Co Miejskie|13.10.2023|29.03.2024|morizon-967331|904|26|||2|||||||||||
"Apartament w unikatowej inwestycji | Gdańsk Oliwa"|1 719 349 zł||70,54 m²||1/3|3|1|||||Tak||Pierwotny||||Apartamentowiec||2022||Co Miejskie|10.12.2023|05.04.2024|morizon-300410|624|26|||1|||||||||||
Nowoczesny 3 pokojowy apartament|1 740 000 zł||77,22 m²||4/6|6|1|||||Tak||Wtórny||||Wolnostojący||2021||Co Miejskie|10.07.2023|05.04.2024|morizon-326005|1 355|26||||||||||||||
Dwa apartamenty w budynku premium|1 890 000 zł||60 m²||7/7|7|1|||||Tak|Tak|Wtórny|2023-11-30||Na wyłączność|Apartamentowiec|Silikat|2021||Co Miejskie|24.11.2023|09.04.2024|morizon-736187|1 047|26|||2|||||||||||
Wyjątkowy apartament z ogrodem w Oliwie|2 426 922 zł||113,59 m²|||3|1||||||Tak|Pierwotny||||Apartamentowiec||2022||Co Miejskie|08.12.2023|05.04.2024|morizon-751963|608|26|||3|||||||||||
Wyjątkowy apartament w sercu Oliwy|3 289 637 zł||129,80 m²|122,45 m²|3/3|3|1|||||Tak||Pierwotny||||Apartamentowiec||2022||Co Miejskie|31.05.2023|05.04.2024|morizon-239531|875|26|||4|||||||||||
"Słoneczne mieszkanie | Okazja"|1 152 000 zł||78,40 m²||3/7|7||||||Tak|Tak|Wtórny||||Blok Mieszkalny||2018||Co Miejskie|29.12.2023|03.04.2024|morizon-329390|670|26|||1|||||||||||
Funkcjonalny apartament w kapitalnej lokalizacji|1 287 564 zł||61,50 m²||1/3|3|1||||||Tak|Wtórny|2024-01-31|||Blok Mieszkalny|Konstrukcja mieszana|2024||Co Miejskie|18.01.2024|29.03.2024|morizon-569354|527|26|||2|||||||||||
Stylowe mieszkanie na kameralnym osiedlu|930 000 zł||62 m²||1/3|3|1|||||Tak||Wtórny|2024-04-01||Na wyłączność|Blok Mieszkalny||2023||Co Miejskie|21.03.2024|09.04.2024|morizon-537816|115|26|||2|||||||||||
Twoje Nowe Miejsce w Centrum Luksusu|1 536 833 zł||72,39 m²||3/3|3|1|||||Tak||Wtórny|2024-01-31|||Blok Mieszkalny|Konstrukcja mieszana|2024||Co Miejskie|14.06.2022|29.03.2024|morizon-262428|2 374|26|||2|||||||||||
Kamienica z pozwoleniem na rozbudowę|3 190 000 zł||166,50 m²||1/1|1|4|||||Tak||Wtórny|2024-01-10|||Kamienica||1920||Co Miejskie|26.01.2024|04.03.2024|morizon-748759|602|26||||||||||||||
5 pokojowy Apartament w Prestiżowej Lokalizacji|3 262 970 zł||128,08 m²||2/3|3|1|||||Tak||Wtórny|2024-01-31|||Blok Mieszkalny|Konstrukcja mieszana|2024||Co Miejskie|13.10.2023|29.03.2024|morizon-766868|699|26|||4|||||||||||
Luksusowe Mieszkanie z Dogodną Lokalizacją|880 793 zł||50,26 m²|||3|1|||||Tak||Wtórny|2024-01-31|||Blok Mieszkalny|Konstrukcja mieszana|2023||Co Miejskie|15.07.2022|29.03.2024|morizon-373134|3 078|26|||1|||||||||||
"2 pokoje \""DWIE MOTŁAWY\"""|899 000 zł||36,36 m²||3/6|6|1|||||Tak||Wtórny||||Blok Mieszkalny||2020||Co Własne|18.04.2023|19.02.2024|morizon-250658|1 657|26||||||||||||||
Apartament niedaleko plaży w Brzeźnie|770 634 zł||47,57 m²||1/10|10|1||||||Tak|Pierwotny||||Apartamentowiec||2025||Co Miejskie|25.09.2023|19.03.2024|morizon-478450|1 506|26||||||||||||||
Nowoczesne mieszkanie niedaleko plaży w Brzeźnie|775 863 zł||48,54 m²||1/10|10|1||||||Tak|Pierwotny||||Apartamentowiec||2025||Co Miejskie|10.12.2023|19.03.2024|morizon-377780|894|26||||||||||||||
Nowoczesne mieszkanie niedaleko plaży w Brzeźnie|982 881 zł||61,70 m²||3/10|10|1|||||Tak||Pierwotny||||Apartamentowiec||2025||Co Miejskie|10.12.2023|19.03.2024|morizon-130608|785|26||||||||||||||
Nowoczesne mieszkanie niedaleko plaży w Brzeźnie|1 316 921 zł||76,69 m²||8/10|10|1|||||||Pierwotny||||Apartamentowiec||2025||Co Miejskie|10.12.2023|19.03.2024|morizon-572674|585|26|||2|||||||||||
Penthouse z widokiem na Zatokę i Park|2 900 000 zł||137,50 m²|137 m²|16/16|16|1|||||||Wtórny|||Na wyłączność|Apartamentowiec||2009||Co Miejskie|02.10.2023|08.02.2024|morizon-107795|1 751|26|||3|||||||||||
